事業所コード,事業所名,在庫区分,在庫区分名,倉庫コード,倉庫名,在庫場所コード,在庫場所名,会計年月,棚番,棚番名,資産分類,資産分類名,資産分類区分,資産分類区分名,品種,品種名,商品コード,商品名,規格,HUKLA品番,仕様,ピース,パーツ,木色,張地１,張地２,特注区分,内訳商品ランク,内訳商品ランク名,単位,個別原価使用フラグ,ロット番号,有効期限,基準日,残月数,前月末原価調整額,前月末評価単価,前月末在庫数,前月末移動積送数,前月末出荷積送数,前月末在庫金額,仕入数,売上数,有償支給数,入庫数,出庫数,移動積送増減数,出荷積送増減数,棚卸調整数,当月末移動積送数,当月末出荷積送数,当月末評価単価,当月末在庫数,当月末原価調整額,当月末在庫金額
100,日本フクラ,10,社内品,,,,,201912,,,1,製品,1,製品,0011,ソファ,T517    0000171,ｸｵｰﾄﾞ ｸｯｼｮﾝ,T517       36           VER/CHA,T517,,36,,,VER/CHA,,,1,B,ﾋﾟｰｽ,,,,2020/03/11,,0,8185,2,0,0,16370,0,0,0,2,2,0,0,0,0,0,8185,2,0,16370
100,日本フクラ,10,社内品,,,,,201912,,,1,製品,1,製品,0011,ソファ,T517    0000199,ｸｵｰﾄﾞ 1Pｱｰﾑﾚｽｿﾌｧ,T517       10           38/4228,T517,,10,,,38/4228,,,1,B,ﾋﾟｰｽ,,,,2020/03/11,,0,69558,1,0,0,69558,0,0,0,0,0,0,0,0,0,0,69558,1,0,69558
100,日本フクラ,10,社内品,,,,,201912,,,1,製品,1,製品,0011,ソファ,T517    0000218,ｸｵｰﾄﾞ ｸｯｼｮﾝ,T517       35           38/2567,T517,,35,,,38/2567,,,0,A,ﾋﾟｰｽ,,,,2020/03/11,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5488,0,0,0
100,日本フクラ,10,社内品,,,,,201912,,,1,製品,1,製品,0011,ソファ,T517    0000237,ｸｵｰﾄﾞ ｸｯｼｮﾝ,T517       36           18/1359,T517,,36,,,18/1359,,,0,A,ﾋﾟｰｽ,,,,2020/03/11,,0,5413,2,0,0,10826,0,0,0,0,0,0,0,0,0,0,5413,2,0,10826
100,日本フクラ,10,社内品,,,,,201912,,,1,製品,1,製品,0011,ソファ,T517    0000248,ｸｵｰﾄﾞ ｽﾂｰﾙL,T517       17L          38/4228,T517,,17L,,,38/4228,,,1,B,ﾋﾟｰｽ,,,,2020/03/11,,0,49124,1,0,0,49124,0,0,0,0,0,0,0,0,0,0,49124,1,0,49124
100,日本フクラ,10,社内品,,,,,201912,,,1,製品,1,製品,0011,ソファ,T517    0000265,ｸｵｰﾄﾞ ｸｯｼｮﾝ,T517       36           28/2149,T517,,36,,,28/2149,,,0,A,ﾋﾟｰｽ,,,,2020/03/11,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8888.888889,2,0,17778
100,日本フクラ,10,社内品,,,,,201912,,,1,製品,1,製品,0011,ソファ,T517    0000269,ｸｵｰﾄﾞ ｸｯｼｮﾝ,T517       36           28/2520,T517,,36,,,28/2520,,,1,B,ﾋﾟｰｽ,,,,2020/03/11,,0,5852,2,0,0,11704,0,0,0,0,0,0,0,0,0,0,5852,2,0,11704
100,日本フクラ,10,社内品,,,,,201912,,,1,製品,1,製品,0011,ソファ,T517    0000270,ｸｵｰﾄﾞ ｸｯｼｮﾝ,T517       35           28/2520,T517,,35,,,28/2520,,,1,B,ﾋﾟｰｽ,,,,2020/03/11,,0,5446,1,0,0,5446,0,0,0,0,0,0,0,0,0,0,5446,1,0,5446
100,日本フクラ,10,社内品,,,,,201912,,,1,製品,1,製品,0011,ソファ,T517    0000284,ｸｵｰﾄﾞ 1Pｱｰﾑﾚｽｿﾌｧ,T517       10           L3/510,T517,,10,,,L3/510,,,1,B,ﾋﾟｰｽ,,,,2020/03/11,,0,95900,1,0,0,95900,0,0,0,0,0,0,0,0,0,0,95900,1,0,95900
100,日本フクラ,10,社内品,,,,,201912,,,1,製品,1,製品,0011,ソファ,T517    0000286,ｸｵｰﾄﾞ ｸｯｼｮﾝ,T517       35           38/2309,T517,,35,,,38/2309,,,1,B,ﾋﾟｰｽ,,,,2020/03/11,,0,5759,1,0,0,5759,0,0,0,0,0,0,0,0,0,0,5759,1,0,5759
100,日本フクラ,10,社内品,,,,,201912,,,1,製品,1,製品,0011,ソファ,T517    0000287,ｸｵｰﾄﾞ ｸｯｼｮﾝ,T517       35           38/2546,T517,,35,,,38/2546,,,1,B,ﾋﾟｰｽ,,,,2020/03/11,,0,5402,1,0,0,5402,0,0,0,0,0,0,0,0,0,0,5402,1,0,5402
100,日本フクラ,10,社内品,,,,,201912,,,1,製品,1,製品,0011,ソファ,T517    0000323,ｸｵｰﾄﾞ ｽﾂｰﾙS,T517       17S          L3/510,T517,,17S,,,L3/510,,,3,D,ﾋﾟｰｽ,,,,2020/03/11,,0,51792,1,0,0,51792,0,0,0,0,0,0,0,0,0,0,51792,1,0,51792
100,日本フクラ,10,社内品,,,,,201912,,,1,製品,1,製品,0011,ソファ,T517    0000330,ｸｵｰﾄﾞ ｸｯｼｮﾝ,T517       36           58/2272,T517,,36,,,58/2272,,,0,A,ﾋﾟｰｽ,,,,2020/03/11,,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,7223,1,0,7223
100,日本フクラ,10,社内品,,,,,201912,,,1,製品,1,製品,0011,ソファ,T517    0000355,ｸｵｰﾄﾞ ｸｯｼｮﾝ,T517       35           L3/518,T517,,35,,,L3/518,,,1,B,ﾋﾟｰｽ,,,,2020/03/11,,0,10890,1,0,0,10890,0,0,0,0,0,0,0,0,0,0,10890,1,0,10890
100,日本フクラ,10,社内品,,,,,201912,,,1,製品,1,製品,0011,ソファ,T517    0000360,ｸｵｰﾄﾞ ｸｯｼｮﾝ,T517       36           L3/511,T517,,36,,,L3/511,,,1,B,ﾋﾟｰｽ,,,,2020/03/11,,0,11964,2,0,0,23928,0,0,0,8,8,0,0,0,0,0,11964,2,0,23928
100,日本フクラ,10,社内品,,,,,201912,,,1,製品,1,製品,0011,ソファ,T517    0000365,ｸｵｰﾄﾞ ｽﾂｰﾙL,T517       17L          18/3582,T517,,17L,,,18/3582,,,3,D,ﾋﾟｰｽ,,,,2020/03/11,,0,46053,1,0,0,46053,0,0,0,0,0,0,0,0,0,0,46053,1,0,46053
