144,2019-06-06,H207527,DHL(Courier),Nagoya airport,Hukla Nanno,2019-06-17,Hukla Nanno,2019-06-18
145,2019-06-11,H207528,Vessel,Nagoya Port,The address listed above,2019-07-20,To Hukla Japan/Nanno ,2019-07-31
147,2019-06-18,H207530,Vessel,Nagoya Port,The address listed above,2019-07-25,To Hukla Japan/Nanno ,2019-08-07
148,2019-06-25,H207531,Vessel,Nagoya Port,The address listed above,2019-08-01,To Hukla Japan/Nanno ,2019-08-19
149,2019-06-25,H207532,Vessel,HAKATA Port,The address listed above,2019-07-27,To Fukuhaku Direct,2019-08-03
151,2019-07-02,H207535,Vessel,Nagoya Port,The address listed above,2019-08-08,To Hukla Japan/Nanno ,2019-08-26
152,2019-07-09,H207536,Vessel,Nagoya Port,The address listed above,2019-08-22,To Hukla Japan/Nanno ,2019-09-04
153,2019-07-16,H207538,Vessel,Nagoya Port,The address listed above,2019-08-29,To Hukla Japan/Nanno ,2019-09-11
154,2019-07-22,H207540,DHL(Courier), Air-port,IN HOUSE HISANAGA with Living House,2019-08-01,For Hukla Japan.,
155,2019-07-23,H207539,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2019-08-01,For Hukla Japan/Nanno Fac.,2019-08-09
156,2019-07-23,H207541,Vessel,Nagoya Port,The address listed above,2019-08-08,To Hukla Japan/Nanno ,2019-08-26
157,2019-07-23,H207542,Vessel,Nagoya Port,The address listed above,2019-09-05,To Hukla Japan/Nanno ,2019-09-18
158,2019-07-23,H207543,Vessel,HAKATA Port,The address listed above,2019-08-22,for f-grip Direct,
159,2019-06-18,H207529,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2019-08-06,For Hukla Japan/Nanno Fac.,2019-08-07
161,2019-07-30,H207544,Vessel,HAKATA Port,The address listed above,2019-09-12,To NIC Hakata Direct,2019-09-30
162,2019-07-30,H207545,Vessel,NAGOYA Port,The address listed above,2019-09-12,To Fujiei NAGOYA Direct ,2019-09-30
163,2019-07-30,H207546,Vessel,Nagoya Port,The address listed above,2019-09-12,To Hukla Japan/Nanno ,2019-09-25
164,2019-08-01,H207547,DHL(Courier), Air-port,LIVING HOUSE HORIE Branch,2019-08-02,For Hukla Japan.,
165,2019-08-06,H207548,Vessel,Nagoya Port,The address listed above,2019-09-19,To Hukla Japan/Nanno ,2019-10-02
166,2019-08-09,H207551,Vessel,Nagoya Port,The address listed above,2019-09-05,To Hukla Japan/Nanno ,
167,2019-08-19,H207552,DHL(Courier),Air-port,Will advice,2019-08-19,For Hukla Japan.,
168,2019-08-20,H207553,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2019-08-20,For Hukla Japan/Nanno Fac.,
169,2019-08-20,H207554,Vessel,Nagoya Port,The address listed above,2019-08-29,To Hukla Japan/Nanno ,
170,2019-08-20,H207555,Vessel,Nagoya Port,The address listed above,2019-09-26,To Hukla Japan/Nanno ,2019-10-09
172,2019-08-21,H207556,Vessel,HAKATA Port,The address listed above,2019-09-21,for f-grip Direct,
173,2019-08-21,H207557,Vessel,HAKATA Port,The address listed above,2019-09-26,To Fukuhaku Direct,2019-10-05
174,2019-08-23,H207558,Vessel,NAGOYA Port,The address listed above,2019-09-19,To Fujikoshi NAGOYA Direct,2019-09-30
175,2019-08-26,H207560,Vessel,Nagoya Port,The address listed above,2019-10-06,To Hukla Japan/Nanno ,2019-10-16
176,2019-08-27,H207561,Vessel,Nagoya Port,The address listed above,2019-10-03,To Hukla Japan/Nanno ,2019-10-16
177,2019-09-03,H207562,Vessel,Nagoya Port,The address listed above,2019-10-17,To Hukla Japan/Nanno ,2019-10-30
178,2019-09-10,H207563,Vessel,NAGOYA Port,The address listed above,2019-10-17,To Daizen NAGOYA Direct ,2019-10-17
179,2019-09-10,H207564,Vessel,Nagoya Port,The address listed above,2019-10-24,To Hukla Japan/Nanno ,2019-11-06
